web-scraper-order,web-scraper-start-url,links,links-href,qdata
"1685437540-1","https://famapp.in/faqs/subcategory/famcardftrs?title=FamCard%20features","Since FamCard is numberless, how do I use it for online purchases?","https://famapp.in/faqs/question/2z/fampay-since-famcard-is-numberless-how-do-i-use-it-for-online-purchases","FamCard features"
"1685437548-2","https://famapp.in/faqs/subcategory/famcardftrs?title=FamCard%20features","How do I use the card at offline stores?","https://famapp.in/faqs/question/NJY/fampay-how-do-i-use-the-card-at-offline-stores","How do I use the card at offline stores?"
"1685437556-3","https://famapp.in/faqs/subcategory/famcardftrs?title=FamCard%20features","Where can I use FamCard?","https://famapp.in/faqs/question/Oo/fampay-where-can-i-use-famcard","Where can I use FamCard?"
"1685437564-4","https://famapp.in/faqs/subcategory/famcardftrs?title=FamCard%20features","What makes FamCard so special?","https://famapp.in/faqs/question/eV3/fampay-what-makes-famcard-so-special","What makes FamCard so special?"
"1685437572-5","https://famapp.in/faqs/subcategory/famcardftrs?title=FamCard%20features","What is a FamCard?","https://famapp.in/faqs/question/gKE/fampay-what-is-a-famcard","What is a FamCard?"
